,Unnamed: 0,Nombre de usuario,Usuario,Fecha,Texto
6677,1111,Carlos Sarmiento,@bycast1,2021-02-14,vacuna llego primero venezuela colombia logro mas gobierno promesas 6 dias vera humo
6678,1112,#BoicotALosEspeculadores,@williechirinos,2021-02-14,sera nuna conversa cualquiera familiar conocido tlf celular alo oye dile mary venga semana viene ponen vacuna aqui aqui chico cdi venga si si dale pues consejo comunal q ver
6679,1113,Ronald Arias,@ronaldcond17,2021-02-14,saben llegaron dosis vacuna sputnikv si senor venezuela gobierno bolivariano lejos mejor colombia ah recuerdo venezuela bloqueo gringos colombia
6680,1114,Celso Tete Crespo,@elsemblante,2021-02-14,venezuela llegaron 100 mil dosis vacuna sputnik v empezaran vacunar masivamente pais bloqueado todas partes aun asi mejores resultados frente pandemia dizque capitalista amiga gringos colombia
6681,1115,Sara,@sarajg99,2021-02-14,venezolanos colombia viendo llego primero vacuna pais
6682,1116,GABO55,@Gaboss55,2021-02-14,mientras mundo entero vacuna habitantes colombia proliferan grupos asesinan lideres sociales silencio macabro gobierno medidas estan tomando grave situacion cucutatumaco ocana estan manos hampa organizada
6683,1117,a n a,@bohemiana__,2021-02-14,colombia deberia hacer vacuna base moringa just saying
6684,1118,Una Crespa Más.,@rizoslocos_,2021-02-14,colombia unico pais primer lote vacuna
6685,1119,Rafa,@Rafa14741546,2021-02-14,tenia suceder colombia todavia hablando llega vacuna va ser pronto abril finales ojo hablan cd castrochavismo pues bueno llego hoy vacuna venezuela ven cd
6686,1120,Iván Yesid,@Ivanyessid17,2021-02-14,entonces primero llego vacuna rusa venezuela colombia
6687,1121,jose jorge celedon,@josejorge13co,2021-02-14,llego vacuna rusa venezuela colombia
6688,1122,Rudolf Hommes,@rudolf_hommes,2021-02-14,toda pandemia colombia destacado querer hacer minimo posible menor costo reflejado enbel apoyo brindado mas necesitados ahora vacuna quizas convenga revisar estrategia
6689,1123,COLOMBIA país hermoso gente BRUTA,@PaisBruta,2021-02-14,paso esperaba primero vacuna venezuela colombia
6690,1124,Rudolf Hommes,@rudolf_hommes,2021-02-14,diferencia chile colombia parece derivarse colombia confio mecanismo covax chile espero covax incumpliera expectativas salio temprano negociar vacuna china corriendo riesgo salieran tiempo sigue
6691,1125,Jaime Madroñero,@bar_chispas,2021-02-14,vacuna llegara primero colombiapfizer 48 astrazeneca 48 moderna 48 reforma tributaria 857 21 votos resultados finales
6692,1126,324B21,@96_marga,2021-02-14,pana venezuela vacuna colombia bien gracias inepto hijueputa
6693,1127,Aemon Targaryan,@Aemon3428,2021-02-14,ahora viene show exodo masivo venezolanos quieren salir colombia vacuna
